,attributevalue,count,normalized_attributevalue,synonyms
400,Envelope Clutch,176,envelope clutch style,"[('Minaudiere', 0.59), ('Clutch Bag', 0.581), ('Pouch Purse', 0.543), ('Wristlet', 0.446)]"
401,Bronzer & Highlighter,175,bronzer highlighter style,"[('Bronzed Glow', 0.731), ('Illuminated Look', 0.528), ('Radiant Sheen', 0.415), ('Sun-Kissed Finish', 0.412)]"
402,Fengshui,173,fengshui style,"[('Oriental Chic', 0.562), ('Zen Aesthetic', 0.465), ('Balanced Outfit', 0.317), ('Harmonious Look', 0.281)]"
403,Tummy Shaper,172,tummy shaper style,"[('Abdominal Compression Garment', 0.526), ('Waist Cincher', 0.51), ('Waist Shaper', 0.507), ('Waist Trainer', 0.49)]"
404,Thermal Tops,170,thermal tops style,"[('Thermal wear', 0.689), ('Heat-retaining garments', 0.628), ('Temperature-regulating apparel', 0.616), ('Insulated clothing', 0.56)]"
405,Shield,169,shield style,"[('Protection Style', 0.67), ('Defend Look', 0.632), ('Armor Look', 0.558), ('Guard Look', 0.525)]"
406,Capris & Top Sets,155,capris top sets style,[]
407,Gift Sets,154,gift sets style,"[('Gift Combos ', 0.792), ('Gift Suites ', 0.75), ('Gift Ensembles ', 0.709)]"
408,Rings,153,rings style,[]
409,Peacoats & Trenches,152,peacoats trenches style,"[('Overcoats', 0.634), ('Raincoats', 0.62), ('Windbreakers', 0.401), ('Macs', 0.322)]"
410,Baguette,151,baguette style,"[('Tapered', 0.617)]"
411,Teapots & Kettles,151,teapots kettles style,"[('Teapots and Kettles Garb', 0.785), ('Teapots and Kettles Apparel', 0.748), ('Teapots and Kettles Clothing', 0.733), ('Teapots and Kettles Attire', 0.718)]"
412,Serums & Essence,150,serums essence style,"[('Elixirs ', 0.715), ('Infusions ', 0.685), ('Extracts ', 0.678), ('Potions ', 0.664)]"
413,Sliders,149,sliders style,"[('Slips fashion', 0.797), ('Slides fashion', 0.7), ('Skimmers fashion', 0.55), ('Gliders fashion', 0.285)]"
414,Denim & Trucker,149,denim trucker style,"[('Denim Jacket ', 0.732), ('Denim Vest ', 0.724), ('Jeans Jacket ', 0.688), ('Jean Vest ', 0.57)]"
415,"Eau De Parfum, Eau de Parfum",149,eau de parfum style,"[('Aroma', 0.548), ('Scent', 0.461), ('Perfume', 0.45), ('Fragrance', 0.445)]"
416,Diaries & Notebooks,148,diaries notebooks style,"[('Journals', 0.651), ('Ledgers', 0.511), ('Logbooks', 0.51), ('Planners', 0.427)]"
417,Sanitary Panties,148,sanitary panties style,"[('Hygienic Underwear', 0.666), ('Clean Panties', 0.616), ('Sterile Undies', 0.589), ('Germ-Free Knickers', 0.547)]"
418,Booties,147,booties style,[]
419,Boyfriend,145,boyfriend style,"[('Beau look', 0.523), ('Gentlemanly', 0.501), ('Beau monde', 0.461), ('Dapper', 0.408)]"
420,School & Activity,144,school activity style,"[('Educational Outfit', 0.616), ('Classroom Clothing', 0.549), ('Academic Attire', 0.494), ('Scholarly Style', 0.48)]"
421,Trenches,144,trenches style,"[('Ditch Coats', 0.705), ('Burberry Look', 0.683), ('Trench Coats', 0.666), ('Military Look', 0.483)]"
422,Monks,144,monks style,"[('Clerical attire', 0.558), ('Religious garb', 0.548), ('Habits', 0.54), ('Vestments', 0.482)]"
423,Earrings,139,earrings style,"[('Earring look', 0.614), ('Earring fashion', 0.609), ('Earring designs', 0.598), ('Earring trends', 0.578)]"
424,Anklets,139,anklets style,"[('Ankle chains', 0.687), ('Leg bands', 0.614), ('Ankle bracelets', 0.603), ('Foot jewelry', 0.558)]"
425,Shampoo,136,shampoo style,"[('Trim', 0.518), ('Hairdo', 0.491), ('Haircut', 0.445), ('Coiffure', 0.4)]"
426,Bolster Covers,134,bolster covers style,"[('Augment fashion style', 0.633), ('Reinforce apparel look', 0.594), ('Uplift clothing style', 0.51), ('Enhance garments design', 0.49)]"
427,Table Linen Sets,134,table linen sets style,"[('Table Linen Apparel ', 0.738), ('Tablecloth Ensembles ', 0.725), ('Table Covering Styles ', 0.714), ('Table Setting Fashions ', 0.659)]"
428,Luggage Bags,131,luggage bags style,"[('Suitcases ', 0.746), ('Travel Bags ', 0.704), ('Holdalls ', 0.561), ('Valises ', 0.518)]"
429,Stockings,131,stockings style,"[('Tights', 0.617), ('Hosiery', 0.562), ('Leggings', 0.561), ('Pantyhose', 0.539)]"
430,"Spoons, Spoon",130,spoons style,"[('Fork Fashions', 0.727), ('Ladle Look', 0.623), ('Spork Style', 0.533), ('Tableware Trends', 0.501)]"
431,Hats,129,hats style,"[('Bonnets', 0.667), ('Caps', 0.621), ('Headgear', 0.577), ('Headwear', 0.561)]"
432,Chopping Boards,129,chopping boards style,"[('Cutting-edge fashion', 0.534), ('Contemporary clothing', 0.347), ('Modern garments', 0.311), ('Trendy apparel', 0.282)]"
433,Handbag,127,handbag style,"[('Purse style', 0.644), ('Satchel style', 0.577), ('Tote style', 0.57), ('Clutch style', 0.511)]"
434,undefined,126,undefined style,"[('Unconventional', 0.792), ('Offbeat', 0.739), ('Unusual', 0.73), ('Unorthodox', 0.726)]"
435,Bodysuits,126,bodysuits style,"[('Unitards', 0.638), ('Leotards', 0.5)]"
436,Luggage Sets,125,luggage sets style,"[('Luggage Ensembles', 0.73), ('Baggage Outfits', 0.716), ('Suitcase Sets', 0.714), ('Travel Bags Collection', 0.667)]"
437,Kitchen Linen Sets,125,kitchen linen sets style,"[('Kitchen Cloth Suites', 0.778), ('Kitchen Linen Outfits', 0.766), ('Kitchen Fabric Combos', 0.758), ('Kitchen Towel Ensembles', 0.754)]"
438,Spray,125,spray style,[]
439,Lip Liner,124,lip liner style,"[('Lip Definer', 0.808), ('Lip Shaper', 0.759), ('Lip Contour', 0.748), ('Lip Outline', 0.725)]"
440,Mirrors,123,mirrors style,"[('Mirror Image', 0.702), ('Reflection Look', 0.679), ('Mirror Chic', 0.657), ('Reflection Fashion', 0.654)]"
441,Sarongs & Wraps,121,sarongs wraps style,"[('Wraps', 0.663), ('Cover-ups', 0.654), ('Skirts', 0.588), ('Pareos', 0.563)]"
442,Nighties,120,nighties style,"[('Nightwear ', 0.696), ('Nightgowns ', 0.673), ('Sleepwear ', 0.577), ('Loungewear ', 0.433)]"
443,Head Wraps,120,head wraps style,"[('Turban Style', 0.637), ('Bandana Style', 0.607), ('Scarf Style', 0.59), ('Shawl Style', 0.573)]"
444,Shower Gels,119,shower gels style,"[('Foaming Soaps', 0.728), ('Body Washes', 0.662), ('Cleansing Lotions', 0.635)]"
445,Football,117,football style,"[('Football-Inspired Outfits', 0.631), ('Soccer Style', 0.403), ('Pitch Fashion', 0.361), ('Cleat Couture', 0.246)]"
446,Aroma Oils,117,aroma oils style,[]
447,Soaps,116,soaps style,"[('Detergent-influenced', 0.692), ('Laundry-influenced', 0.634), ('Suds-inspired', 0.617), ('Cleaning-inspired', 0.569)]"
448,Office Supplies,116,office supplies style,"[('Stationery Chic', 0.676), ('Office Attire', 0.65), ('Deskwear', 0.612), ('Business Casual', 0.437)]"
449,Analogue,115,analogue style,"[('Old-Fashioned Style', 0.686), ('Vintage Vibe', 0.605), ('Retro Look', 0.54), ('Classic Design', 0.525)]"
450,Hoops,115,hoops style,[]
451,Utility,114,utility style,[]
452,Rimless,114,rimless style,"[('Borderless look', 0.79), ('Edgeless design', 0.771), ('Frameless fashion', 0.764), ('Boundary-free style', 0.603)]"
453,Semi-stitched A-line,113,semi stitched a line style,"[('Partially sewn A-line cut', 0.74), ('Half-finished A-line design', 0.74), ('Semi-tailored A-line shape', 0.73), ('Half-assembled A-line silhouette', 0.709)]"
454,Indoor Fountains,113,indoor fountains style,"[('Interior Design Apparel', 0.581), ('Room-Inspired Outfits', 0.539), ('Domestic Wear', 0.527), ('Home Decor Clothing', 0.454)]"
455,Lamp,112,lamp style,"[('Illumination Apparel', 0.569), ('Light-up Look', 0.514), ('Glowing Garb', 0.443), ('Flashy Fashion', 0.408)]"
456,Clogs & Mules,111,clogs mules style,[]
457,Club Masters,109,club masters style,"[('Mob Magnificence', 0.615), ('Gangsta Glam', 0.583), ('Posse Panache', 0.497), ('Clique Couture', 0.334)]"
458,Multistrand Chain,108,multistrand chain style,"[('Plaited ', 0.554), ('Woven ', 0.531), ('Intertwined ', 0.516), ('Braided ', 0.479)]"
459,Tissue Holders,106,tissue holders style,[]
460,Sherwani Kurtas,106,sherwani kurtas style,"[('Pathani Kurtas', 0.725), ('Achkan Kurtas', 0.714), ('Bandhgala Kurtas', 0.714), ('Indo-Western Kurtas', 0.67)]"
461,Dhurries,105,dhurries style,"[('Coverings', 0.586), ('Mats', 0.563), ('Carpets', 0.455), ('Rugs', 0.438)]"
462,Sculpture,103,sculpture style,"[('Design', 0.527), ('Cut', 0.501), ('Line', 0.5), ('Silhouette', 0.489)]"
463,Tiered & Layered,103,tiered layered style,"[('Multi-leveled', 0.729), ('Stratified', 0.679), ('Graduated', 0.47), ('Step-like', 0.425)]"
464,Side open,103,side open style,"[('Slit-style', 0.739), ('Open-sided look', 0.724), ('Cut-out design', 0.702), ('Asymmetrical silhouette', 0.637)]"
465,"Vests, Vest",103,vests style,"[('Jerkins', 0.619), ('Tabards', 0.61), ('Waistcoats', 0.577)]"
466,Bibs,102,bibs style,[]
467,Lip Gloss,100,lip gloss style,"[('Lip Glaze', 0.811), ('Lip Balm', 0.738), ('Lip Shine', 0.725), ('Lip Lacquer', 0.711)]"
468,Moisturiser & Creame,100,moisturiser creame style,"[('Emollient Ointment', 0.711), ('Moisturizing Lotion', 0.682), ('Hydrating Cream', 0.678), ('Nourishing Balm', 0.609)]"
469,"Watch+Strap, Watch Strap",99,watch strap style,[]
470,"Kadas, Kada",99,kadas style,"[('Kada Trend', 0.719), ('Kada Design', 0.695), ('Kada Look', 0.681), ('Kada Fashion', 0.645)]"
471,Face Wash,99,face wash style,"[('Facial Fashions', 0.649), ('Face Clothing', 0.547), ('Facial Apparel', 0.536), ('Visage Wear', 0.511)]"
472,"SmartWatch, Smartwatch, Smart watches, Smart Watches",98,smart watches style,"[('Timepieces', 0.519), ('Wearables', 0.507), ('Chronometers', 0.428), ('Wristwear', 0.421)]"
473,Moccasins,98,moccasins style,"[('Slip-ons', 0.644), ('Moccasin-style Footwear', 0.618), ('Loafers', 0.508), ('Driving Shoes', 0.398)]"
474,Air Fresheners,96,air fresheners style,[]
475,Boat Shoes,95,boat shoes style,"[('Boat Sneakers', 0.72), ('Deck Shoes', 0.645), ('Loafers', 0.544), ('Moccasins', 0.533)]"
476,Jharokhas,94,jharokhas style,"[('Filigree designs', 0.575), ('Ornate fretwork', 0.469), ('Intricate latticework', 0.43), ('Elaborate carvings', 0.419)]"
477,Brushes & Combs,93,brushes combs style,"[('Haircare implements', 0.608), ('Grooming tools', 0.561), (""Hairdresser's equipment"", 0.558), ('Styling accessories', 0.499)]"
478,Skirt & Dress Slips,92,skirt dress slips style,"[('Dress Slips', 0.859), ('Underskirts', 0.731)]"
479,Casseroles,92,casseroles style,[]
480,Suspenders,91,suspenders style,"[('Galluses', 0.716), ('Suspender Belts', 0.66), ('Y-Back', 0.645), ('Braces', 0.595)]"
481,Rear shaper,91,rear shaper style,"[('Rear Enhancer ', 0.725), ('Derriere Definer ', 0.721), ('Backside Contour ', 0.678), ('Buttock Sculptor ', 0.59)]"
482,Duffel Bags,90,duffel bags style,"[('Duffle Bags', 0.798), ('Travel Bags', 0.712), ('Holdalls', 0.646), ('Weekenders', 0.305)]"
483,Gifting Boxes,90,gifting boxes style,"[('Gift Boxes', 0.802), ('Gift Containers', 0.732), ('Presentation Packaging', 0.681), ('Gift Wrapping', 0.667)]"
484,Thigh Shaper,89,thigh shaper style,"[('Leg Enhancer', 0.641), ('Leg Shaper', 0.634), ('Leg Contouring', 0.607), ('Thigh Slimmer', 0.576)]"
485,Potpourri,89,potpourri style,"[('Varied', 0.551), ('Assorted', 0.549), ('Eclectic', 0.545), ('Diverse', 0.512)]"
486,Dryers & Styler,89,dryers styler style,"[('Crimpers', 0.605), ('Straighteners', 0.564), ('Curlers', 0.536), ('Hot Rollers', 0.423)]"
487,Sporty,89,sporty style,"[('Sportswear', 0.557), ('Athletic Look', 0.447), ('Activewear', 0.447), ('Fitness Fashion', 0.407)]"
488,Basketball,88,basketball style,"[('B-Ball', 0.422)]"
489,Storage Bags,87,storage bags style,[]
490,Raincoats,87,raincoats style,"[('Rainwear', 0.726), ('Slickers', 0.636), ('Waterproofs', 0.497), ('Macs', 0.311)]"
491,Knives,87,knives style,"[('Knife Edge', 0.754), ('Cut Edge', 0.644), ('Blades Look', 0.597), ('Razor Sharp', 0.516)]"
492,Skorts,87,skorts style,"[('Split shorts', 0.635), ('Shorts-skirt hybrid', 0.435)]"
493,Boxer Shorts,86,boxer shorts style,"[('Briefs', 0.639), ('Undershorts', 0.609), ('Trunks', 0.469), ('Jockeys', 0.373)]"
494,"Waist Pouches, Waist pouch",85,waist pouches style,"[('Belt Bags', 0.659), ('Waist Purses', 0.641), ('Fanny Packs', 0.63), ('Hip Bags', 0.609)]"
495,Kitchen Racks & Shelves,84,kitchen racks shelves style,"[('Kitchen storage solutions', 0.807), ('Kitchen shelving designs', 0.805), ('Kitchen shelving arrangements', 0.792), ('Kitchen shelf styling', 0.79)]"
496,Diffusers,84,diffusers style,"[('Dispersal Style', 0.684), ('Diffusion Style', 0.678), ('Dissemination Style', 0.662), ('Spread Style', 0.626)]"
497,Kitchen Towels,84,kitchen towels style,"[('Kitchen Towel Style', 0.808), ('Kitchen Rag Fashion', 0.72), ('Kitchen Cloth Design', 0.674), ('Kitchen Linens Look', 0.67)]"
498,Decorative Accents,83,decorative accents style,"[('Ornamental Embellishments ', 0.732), ('Adornments ', 0.695), ('Trimmings ', 0.677), ('Finishing Touches ', 0.619)]"
499,Cross Strap,82,cross strap style,"[('Intersecting Straps', 0.761), ('Criss-Cross Straps', 0.759), ('X-Back', 0.667), ('Harness Style', 0.63)]"
500,Waist Bag,79,waist bag style,"[('Belt bag', 0.762), ('Hip sack', 0.719), ('Fanny pack', 0.693), ('Bum bag', 0.685)]"
501,Canvas,78,canvas style,"[('Chino Style', 0.544), ('Cotton Fabric', 0.526), ('Denim Look', 0.481), ('Khaki Design', 0.437)]"
502,Conditioner,78,conditioner style,[]
503,Parka,77,parka style,"[('Anorak', 0.534), ('Windbreaker', 0.405), ('Quilted Jacket', 0.381)]"
504,T-shirt & Track Pants,77,t shirt track pants style,"[('T-Shirt and Tracksuit Combination', 0.713), ('T-Shirt and Sweatpants Combination', 0.655), ('T-Shirt and Joggers Outfit', 0.651), ('Tee and Sweatpants Look', 0.636)]"
505,"Crafts, Hobbies & Home",77,crafts hobbies home style,"[('DIY, diversions, home décor', 0.82), ('Handicrafts, pastimes, interior design', 0.712), ('Creativity, amusements, furnishings', 0.587), ('Artistry, leisure activities, décor', 0.563)]"
506,Rakhi,76,rakhi style,"[('Rakhi-influenced', 0.789), ('Rakhi-motif', 0.77), ('Rakhi-themed', 0.758), ('Rakhi-inspired', 0.738)]"
507,Duffel & Barrel Bags,75,duffel barrel bags style,"[('Duffel Barrel Tote', 0.824), ('Duffel Barrel Satchel', 0.772), ('Duffel Barrel Purse', 0.771), ('Duffel Barrel Backpack', 0.749)]"
508,Toners & Mist,75,toners mist style,"[('Mists', 0.72), (‘Spritzers', 0.633)]"
509,Coin Pouch,74,coin pouch style,"[('Coin Holder ', 0.779), ('Coin Wallet ', 0.726), ('Coin Purse ', 0.691), ('Change Purse ', 0.556)]"
510,Hard Case,73,hard case style,"[('Tough Look', 0.761), ('Heavy Duty Look', 0.684), ('Rugged Look', 0.679), ('Robust Style', 0.451)]"
511,Windbreakers,73,windbreakers style,"[('Windcheaters', 0.735), ('Windproofs', 0.603), ('Windproof jackets', 0.518), ('Windproof coats', 0.503)]"
512,Lunch Boxes & Bags,72,lunch boxes bags style,"[('Lunch Sacks', 0.84), ('Meal Carriers', 0.687), ('Food Pouches', 0.661), ('Carryalls', 0.484)]"
513,Shirt & Pyjama,72,shirt pyjama style,"[('Loungewear', 0.395)]"
514,Fashion Belts,71,fashion belts style,"[('Cinch Belts', 0.635), ('Waistbands', 0.63), ('Cummerbunds', 0.583), ('Sashes', 0.53)]"
515,Tutu,71,tutu style,"[('Tutu cut', 0.713), ('Tutu design', 0.711), ('Tutu look', 0.7), ('Tutu silhouette', 0.606)]"
516,Lip Balm,70,lip balm style,"[('Lip Gloss', 0.717)]"
517,Holds & Tie Backs,70,holds tie backs style,"[('Restrains sash', 0.642), ('Fastens belt', 0.634), ('Attaches waistband', 0.607), ('Secures sash', 0.582)]"
518,Digital,70,digital style,"[('Electronic', 0.609)]"
519,Tops,70,tops style,"[('Bonnets', 0.651), ('Headpieces', 0.61), ('Headgear', 0.599), ('Headwear', 0.587)]"
520,Bathroom Organisers,70,bathroom organisers style,"[('Toilet Apparel ', 0.743), ('Restroom Attire ', 0.687), ('Lavatory Accoutrements ', 0.595), ('Loo Fashions ', 0.501)]"
521,Exfoliators & Scrubs,69,exfoliators scrubs style,"[('Scourers', 0.687), ('Abrasives', 0.655), ('Buffers', 0.533), ('Polishers', 0.518)]"
522,Kitchen Mittens & Gloves,68,kitchen mittens gloves style,"[('Kitchen Gauntlets', 0.698), ('Cuisine Mittens', 0.674), ('Cooking Mitts', 0.645), ('Culinary Handwear', 0.589)]"
523,Bathing Stools,67,bathing stools style,"[('Bathing Apparel ', 0.656), ('Poolside Outfits ', 0.623), ('Swimming Attire ', 0.593), ('Beachwear ', 0.459)]"
524,Dresses,66,dresses style,"[('Garments fashion', 0.654), ('Outfit designs', 0.64), ('Attire trends', 0.611), ('Apparel looks', 0.555)]"
525,Brow Pencil,66,brow pencil style,"[('Eyebrow Pencil Style', 0.787), ('Eyebrow Pencil Look', 0.784), ('Eyebrow Pencil Design', 0.78), ('Eyebrow Pencil Trend', 0.778)]"
526,Dishwashing Organisers,65,dishwashing organisers style,"[('Dishwashing Garb', 0.767), ('Dishwashing Apparel', 0.735), ('Dishwashing Outfit', 0.725), ('Dishwashing Attire', 0.709)]"
527,Boxer Briefs,64,boxer briefs style,"[('Boxer Shorts', 0.728), ('Briefs', 0.657), ('Jockstraps', 0.504), ('Trunks', 0.436)]"
528,Tote Bags,64,tote bags style,"[('Carryalls', 0.651), ('Purses', 0.618), ('Holdalls', 0.613)]"
529,"Flat caps, Flat Caps",63,flat caps style,"[('Gatsby caps', 0.619), ('Newsboy caps', 0.552), ('Cabbie hats', 0.446), ('Baker boy hats', 0.426)]"
530,Hair Colour,62,hair colour style,"[('Hair Tinting', 0.655), ('Hair Dyeing', 0.646), ('Hair Highlighting', 0.643), ('Hair Streaking', 0.639)]"
531,Berets,61,berets style,"[('Toques', 0.602)]"
532,Tennis,61,tennis style,"[('Tennis chic', 0.682), ('Match mode', 0.536), ('Court couture', 0.439), ('Racquet runway', 0.384)]"
533,Gilet,60,gilet style,"[('Vest ', 0.555), ('Bolero ', 0.553), ('Cropped Jacket ', 0.497), ('Waistcoat ', 0.446)]"
534,"Rucksack, Rucksacks",60,rucksacks style,"[('Haversacks ', 0.725), ('Knapsacks ', 0.685), ('Packsacks ', 0.657), ('Backpacks ', 0.568)]"
535,"Calf-Length, Calf-length",60,calf length style,"[('Capri-length', 0.605), ('Midi-length', 0.545)]"
536,Brazilian,59,brazilian style,"[('Brazilian Chic', 0.733), ('Samba Style', 0.654), ('Tropical Trend', 0.463), ('Carnival Couture', 0.339)]"
537,Sindoor Box,59,sindoor box style,"[('Vermillion Container Design', 0.658), ('Bindi Case Style', 0.595), ('Kumkum Chest Design', 0.569), ('Tilak Chest Model', 0.494)]"
538,Fit & Flare,59,fit flare style,"[('A-line shape', 0.697), ('Flared silhouette', 0.679), ('Bell-bottom', 0.591), ('Boot-cut', 0.482)]"
539,Kadais,59,kadais style,[]
540,Perfume,59,perfume style,"[('Fragrance', 0.67), ('Scented', 0.631), ('Aroma', 0.589)]"
541,"Gladiators, Gladiator",59,gladiator style,[]
542,Toiletry Pouches,59,toiletry pouches style,"[('Toiletry Bags', 0.721), ('Vanity Cases', 0.711), ('Wash Bags', 0.589), ('Cosmetic Cases', 0.589)]"
543,Brogues,57,brogues style,"[('Bluchers', 0.671), ('Derbies', 0.636), ('Oxfords', 0.532), ('Wingtips', 0.344)]"
544,Ghagra,56,ghagra style,"[('Lehenga Style', 0.678), ('Chaniya Choli Style', 0.636), ('A-Line Skirt Style', 0.481)]"
545,Hand Care,56,hand care style,"[('Hand Fashion', 0.767), ('Manicure Mode', 0.616), ('Palm Styling', 0.6), ('Digit Design', 0.593)]"
546,Top & Pyjama,55,top pyjama style,"[('Onesie', 0.464), ('Sleepwear', 0.452), ('Loungewear', 0.361), ('Nightwear', 0.35)]"
547,Bucket Hats,54,bucket hats style,"[('Dome caps', 0.562), ('Visors', 0.528), ('Fisherman caps', 0.483), ('Sun hats', 0.324)]"
548,History,53,history style,"[('Vintage', 0.625), ('Retro', 0.557), ('Classic', 0.543), ('Timeless', 0.52)]"
549,Bells & Wind Chimes,53,bells wind chimes style,"[('Jingle-jangle jewelry', 0.649), ('Wind-whistle wear', 0.605), ('Chime-chic accessories', 0.573), ('Tinkle-tinkle trimmings', 0.52)]"
550,Tie Pins & Bars,53,tie pins bars style,"[('Collar Clips ', 0.676), ('Lapel Pins ', 0.665), ('Bowtie Fasteners ', 0.619), ('Necktie Clasps ', 0.56)]"
551,Shirt & Shorts,52,shirt shorts style,[]
552,Eau de Toilette,52,eau de toilette style,"[('Cologne', 0.588), (‘Perfume', 0.519), ('Fragrance', 0.511)]"
553,Hair Oil,52,hair oil style,[]
554,Cleansers,51,cleansers style,[]
555,"Gels, Gel",48,gels style,"[('Jellies fashion', 0.672), ('Jelly-look', 0.565), ('Jelly-style', 0.532), ('Jelly-inspired', 0.529)]"
556,Lumba,48,lumba style,"[('Undulating Outfits', 0.469), ('Waving Wear', 0.468), ('Swinging Skirts', 0.292)]"
557,Face Care Tools,46,face care tools style,"[('Facial Styling Instruments', 0.723), ('Facial Grooming Apparatus', 0.71), ('Facial Beauty Supplies', 0.703), ('Facial Maintenance Equipment', 0.697)]"
558,Spice Racks & Boxes,46,spice racks boxes style,"[('Spice racks containers look', 0.864), ('Spice racks design', 0.86), ('Spice racks style', 0.857), ('Spice racks fashion', 0.818)]"
559,Bandhgala,46,bandhgala style,"[('Sherwani', 0.665), ('Achkan', 0.659), ('Jodhpuri', 0.628), ('Indo-Western', 0.617)]"
560,Biographies,45,biographies style,"[('Autobiographical fashion', 0.585), ('Narrative fashion', 0.427), ('Personalized fashion', 0.4), ('Life story fashion', 0.369)]"
561,"Shoulder Bags, Shoulder Bag",45,shoulder bag style,[]
562,Stylised Socks,44,stylised socks style,"[('Glamorous Socks', 0.603), ('Chic Stockings', 0.487), ('Trendy Hosiery', 0.396)]"
563,Dress & Shrug Sets,44,dress shrug sets style,"[('Attire Groupings ', 0.643), ('Costume Arrangements ', 0.616), ('Outfit Ensembles ', 0.579), ('Garment Combinations ', 0.578)]"
564,Sports Sandals,44,sports sandals style,"[('Exercise Sandals', 0.686), ('Fitness Slippers', 0.527), ('Athletic Footwear', 0.498), ('Performance Slides', 0.385)]"
565,Fragrance Set,44,fragrance set style,"[('Odor ensemble style', 0.752), ('Perfumed ensemble trend', 0.694), ('Aroma ensemble fashion', 0.688), ('Scented ensemble look', 0.643)]"
566,Gift Hampers,43,gift hampers style,"[('Gift Sets ', 0.757), ('Gift Boxes ', 0.734), ('Gift Baskets ', 0.717), ('Gift Packs ', 0.715)]"
567,Lounge Pants,43,lounge pants style,"[('Sweatpants', 0.644), ('Loungewear', 0.624), ('Track Pants', 0.561), ('Joggers', 0.296)]"
568,Leotard,43,leotard style,"[('Unitard', 0.664), ('Bodysuit', 0.431), ('Jumpsuit', 0.402), ('Catsuit', 0.344)]"
569,Make-up pouch,42,make up pouch style,"[('Vanity Case', 0.687), ('Cosmetic Bag', 0.588), ('Toiletry Bag', 0.565), ('Beauty Case', 0.435)]"
570,Remover & Wipes,42,remover wipes style,"[('Cleanser cloths ', 0.635), ('Eraser cloths ', 0.633), ('Wiper cloths ', 0.612), ('Purifier cloths ', 0.552)]"
571,Earphones,41,earphones style,"[('Earbuds', 0.733)]"
572,Ponchos,41,ponchos style,"[('Cloak', 0.532)]"
573,Garden Accents & Tools,41,garden accents tools style,[]
574,Plate,41,plate style,[]
575,Bandanas,40,bandanas style,"[('Scarves', 0.652), ('Bandeaus', 0.593), ('Headscarves', 0.527), ('Neckerchiefs', 0.505)]"
576,Lounge Shorts,40,lounge shorts style,[]
577,Sun Hats,40,sun hats style,"[('Sun caps', 0.714), ('Sun bonnets', 0.706), ('Sun toppers', 0.681), ('Sun visors', 0.657)]"
578,Bath Scrubs,40,bath scrubs style,[]
579,"Fancy Articles, Fancy articles",40,fancy articles style,"[('Luxurious apparel', 0.57), ('Trendy outfits', 0.555), ('Glamorous clothing', 0.529), ('Stylish garments', 0.516)]"
580,Athletic,40,athletic style,"[('Sporty', 0.534), ('Gymwear', 0.482), ('Fitnesswear', 0.469), ('Activewear', 0.434)]"
581,Trivets & Pot Stands,39,trivets pot stands style,"[('Hotplates', 0.591), ('Pot Racks', 0.578), ('Trivet Holders', 0.528), ('Style Supports', 0.41)]"
582,Dustbins & Garbage Bags,39,dustbins garbage bags style,"[('Trash receptacles, refuse sacks, silhouettes', 0.842), ('Rubbish bins, garbage bags, shapes', 0.833), ('Waste bins, refuse sacks, outlines', 0.83), ('Dustbins, trash bags, forms', 0.799)]"
583,Bed Wedges & Neck Pillows,39,bed wedges neck pillows style,"[('Bed wedgings, neck bolsters, and fashion looks', 0.772), ('Bed supports, neck rolls, and fashion designs', 0.77), ('Bed accessories, neck cushions, and fashion aesthetics', 0.751), ('Bed props, neck supports, and fashion trends', 0.732)]"
584,Sponges & Applicators,39,sponges applicators style,"[('Blotters', 0.63), ('Buffers', 0.545), ('Wipers', 0.522), ('Pads', 0.514)]"
585,Silver Tableware,38,silver tableware style,"[('Silver Cutlery Look', 0.822), ('Silverware Chic', 0.801), ('Silver Tabletop Fashion', 0.725), ('Silver Table Setting Style', 0.715)]"
586,Napkin Rings,38,napkin rings style,"[('Napkin holders fashion ', 0.71), ('Napkin holders look ', 0.699), ('Napkin holders trend ', 0.692), ('Napkin holders ', 0.673)]"
587,High Socks,38,high socks style,"[('Over-the-knees', 0.684), ('Knee-highs', 0.646), ('Thigh-highs', 0.628), ('Stockings', 0.598)]"
588,Lip Stain,37,lip stain style,"[('Lip Dye', 0.782), ('Lip Tint', 0.771), ('Lip Paint', 0.761), ('Lip Color', 0.696)]"
589,Trunks,37,trunks style,[]
590,Mascara,37,mascara style,"[('Lash definition', 0.623), ('Eye makeup', 0.615), ('Eyelash enhancement', 0.581), ('Eye enhancement', 0.53)]"
591,Miniature Dcor & Figurines,36,miniature dcor figurines style,"[('Miniature Figurines', 0.727), ('Miniature Figurative Art', 0.689), ('Miniature Statuettes', 0.687), ('Miniature Ornamental Statuettes', 0.619)]"
592,Thermal Pants,35,thermal pants style,"[('Thermal leggings', 0.756), ('Heat-retaining trousers', 0.725), ('Insulated trousers', 0.711), ('Fleece-lined trousers', 0.65)]"
593,Glass,35,glass style,"[('Spectacles ', 0.648), ('Shades ', 0.625), ('Eyewear ', 0.542), ('Goggles ', 0.523)]"
594,Baking Accessories,35,baking accessories style,"[('Baking Apparel', 0.805), ('Baking Attire', 0.775), ('Baking Clothing', 0.759), ('Baking Dress', 0.729)]"
595,Cookware Tools,35,cookware tools style,"[('Garb', 0.446), ('Outfit', 0.415), ('Attire', 0.402), ('Apparel', 0.392)]"
596,Cricket,35,cricket style,"[('Cricket-influenced', 0.781), ('Cricket-themed', 0.755), ('Cricket-look', 0.749), ('Cricket-inspired', 0.747)]"
